marca_temporal,modalidad,trabajo,tipo_de_trabajo,devops,codificar_por_trabajo,experiencia_en_ti,experiencia_en_codificación_,primera_línea_de_código_en_una_máquina,educación,carreras_o_especialidades,importancia_educación_formal,género,edad_actual_,salario_mensual,programación_scripting_y_lenguajes_de_marcado,librerías_o_web_frameworks,otras_frameworks_librerías_y_herramientas,base_de_datos,plataformas,lenguaje_favorito,lenguaje_más_odiado,framework_favorito,framework_más_odiado,herramientas
2021/03/01 6:56:30 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev full-stack,,Sí,<5,<5,16-17,Ed. Secundaria,Análisis de Sistemas,+ || -,HOMBRE,20-24,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;Python;Java;HTML/CSS;SQL,Angular;Spring,,MySQL;PostgreSQL;Redis;Oracle,GNU/Linux;Docker,Python,,Spring,,GitLab
2021/03/01 6:57:43 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;Dev mobile,,Sí,10-14,<5,14-15,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Ing. Informática,NO,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Python;HTML/CSS;SQL;Dart,React.js;JQuery;ASP.NET;Django;Symfony,Node.js;Flutter,MySQL;PostgreSQL;Elasticsearch,GNU/Linux;Microsoft Windows;Docker;WordPress,JavaScript,,,,GitHub;Slack;GitLab;Google Suite;Trello;Discord
2021/03/01 6:57:50 p. m. GMT-3,Remoto,Internacional,Dev back-end,,Sí,5-9,5-9,<10,Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,30-34,18.000.000 a 21.000.000 Gs.,Java;SQL,Angular;Spring,,MySQL;MariaDB;MongoDB,Microsoft Windows;Docker;AWS;Kubernetes,Java,JavaScript,Spring,Vue.js,GitHub;Slack;Jira;Google Suite;Confluence;Discord
2021/03/01 6:58:17 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev mobile;Dev de sistemas embebidos;Aps de escritorio o empresariales;QA o testing;Project Lead,Sys Admin;Educador,Sí,20-24,20-24,28-29,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática;Otras,MUY,HOMBRE,35-39,21.000.000 a 24.000.000 Gs.,JavaScript;TypeScript;PHP;Java;C;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Dart;VBA;Genexus;Fox Pro;RPG,React.js;Angular;JQuery;Vue.js;Spring,React Native;Ansible;Flutter;Puppet;Chef,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;IBM DB2;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Docker;Google Cloud Platform;iOS;Kubernetes,Java,PHP,Spring,ASP.NET Core,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/01 6:58:18 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end,,Sí,<5,<5,<10,Ed. Universitaria,Análisis de Sistemas,BASTANTE,HOMBRE,20-24,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;HTML/CSS,React.js;JQuery;Vue.js;Laravel,,MySQL;PostgreSQL;MongoDB,GNU/Linux;Microsoft Windows,PHP,Java,Laravel,React.js,GitHub;Slack;GitLab;Google Suite;Trello
2021/03/01 6:59:31 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack;Project Lead,Sys Admin,Sí,5-9,5-9,18-19,Ed. Universitaria;Autodidacta,Análisis de Sistemas,MUY,MUJER,25-29,18.000.000 a 21.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL;Bash/Shell/PowerShell;RPG,Angular;Angular.js;JQuery;Spring,Node.js,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase;Elasticsearch,GNU/Linux;Microsoft Windows;Docker;AWS;Android;Kubernetes;Heroku,Java,PHP,Spring,CodeIgniter,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/01 7:00:26 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Dev mobile,,Sí,<5,<5,<10,Ed. Secundaria;Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,20-24,5.000.000 a 7.000.000 Gs.,JavaScript;Java;HTML/CSS;SQL;Swift;Objective-C;Dart,JQuery;Vue.js;Spring,Flutter,PostgreSQL;Oracle;Firebase,Microsoft Windows;MacOS;iOS,JavaScript,C,Spring,,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello;Facebook Workplace;Discord
2021/03/01 7:03:07 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack,,Sí,<5,<5,10-11,Ed. Universitaria;Master,Análisis de Sistemas;Otras,MUY,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;Java;HTML/CSS;SQL;Bash/Shell/PowerShell;Scala,JQuery,,PostgreSQL,GNU/Linux;MacOS,Python,C++,,,Slack;GitLab
2021/03/01 7:04:11 p. m. GMT-3,Remoto,Ambas,Dev back-end;Dev front-end;Dev full-stack,Diseñador,Sí,5-9,5-9,<10,Ed. Universitaria,Programación;Análisis de Sistemas,MUY,HOMBRE,30-34,2.192.839 Gs.,JavaScript;PHP;HTML/CSS;SQL,JQuery;Laravel,,MySQL;PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows,PHP,,Laravel,,GitHub;Slack;Trello
2021/03/01 7:04:23 p. m. GMT-3,Hibrído,Ambas,Dev full-stack;Dev mobile;Aps de escritorio o empresariales;Project Lead,Sys Admin;Diseñador,Sí,10-14,10-14,10-11,Ed. Universitaria;Autodidacta,Programación;Ing. Informática,+ || -,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,JavaScript;Python;C++;HTML/CSS;Bash/Shell/PowerShell;Rust,React.js;JQuery;Django;Flask,Node.js;Pandas;React Native;Flutter;Cordova,MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Redis;Couchbase,GNU/Linux;Microsoft Windows;Android,Python,Fox Pro,Django,Angular.js,GitHub;Slack;GitLab;Trello
2021/03/01 7:08:24 p. m. GMT-3,Remoto,Nacional (Paraguay),Project Lead,,No,15-19,5-9,20-21,Ed. Universitaria;Master,Ing. Informática,MUY,HOMBRE,35-39,15.000.000 a 18.000.000 Gs.,Java;C;C++;SQL,Spring,,MySQL;PostgreSQL;Microsoft SQL Server;Oracle;Firebase;IBM DB2,GNU/Linux;Microsoft Windows,Java,PHP,Spring,Ruby on Rails,Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team
2021/03/01 7:18:21 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack,,Sí,15-19,10-14,14-15,Master,Ing. Informática,+ || -,HOMBRE,35-39,12.000.000 a 15.000.000 Gs.,JavaScript;TypeScript;Python;Java;SQL;R,Vue.js;Spring;Django;Flask,TensorFlow;Keras;Hadoop,Microsoft SQL Server;MongoDB;Oracle,GNU/Linux;Microsoft Windows;Docker,Python,JavaScript,Spring,React.js,GitHub;GitLab;Jira;Confluence
2021/03/01 7:19:38 p. m. GMT-3,Remoto,Ambas,Dev full-stack,Data Scientist ML Specialist,Sí,5-9,10-14,14-15,Master,Ing. Informática,BASTANTE,HOMBRE,30-34,> 27.000.000 Gs.,JavaScript;Python;HTML/CSS;SQL;R,React.js;Flask,Pandas;TensorFlow;Torch/PyTorch,PostgreSQL;Oracle;Elasticsearch,MacOS;Docker;AWS,Python,PHP,React.js,Spring,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/01 7:22:33 p. m. GMT-3,Remoto,Ambas,Dev full-stack;Dev mobile;Project Lead,Sys Admin;Inv. Cientifico,Sí,20-24,10-14,10-11,Master,Ing. Informática,BASTANTE,HOMBRE,35-39,7.000.000 a 9.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,Angular;Angular.js;JQuery;Vue.js;Laravel,Pandas;TensorFlow;Keras;Cordova,MySQL;MariaDB;PostgreSQL;SQLite;Redis;Firebase,GNU/Linux;MacOS;Docker;AWS;Raspberry Pi;WordPress,TypeScript,Java,Laravel,,GitHub;Slack;GitLab;Jira;Confluence;Trello
2021/03/01 7:27:19 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev de sistemas embebidos;DB Admin,Diseñador,Sí,5-9,5-9,<10,Ed. Universitaria,Análisis de Sistemas,BASTANTE,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,SQL;Oracle form,,,Oracle,Microsoft Windows,Oracle form,JavaScript,,,Microsoft Team
2021/03/01 7:31:48 p. m. GMT-3,Remoto,Internacional,Dev back-end;Dev front-end;Dev full-stack;DB Admin,,Sí,5-9,5-9,10-11,Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL,React.js;Express;Laravel;Symfony;CodeIgniter,Node.js,MySQL;MariaDB;SQLite;MongoDB,GNU/Linux;Microsoft Windows;Docker;AWS;WordPress,PHP,,Laravel,,GitHub;Slack;Jira;Google Suite;Microsoft Team;Trello
2021/03/01 7:31:51 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack,Sys Admin,Sí,10-14,10-14,10-11,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,35-39,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;Java;HTML/CSS;SQL;Oracle form,Angular.js;JQuery;Vue.js;Spring,Node.js,MySQL;PostgreSQL;Oracle,GNU/Linux;Microsoft Windows,Java,RPG,Spring,CodeIgniter,GitHub;GitLab;Google Suite;Trello
2021/03/01 7:32:58 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev de sistemas embebidos;Aps de escritorio o empresariales;QA o testing;DB Admin;Project Lead,Sys Admin;Data Scientist ML Specialist;Inv. Cientifico;Diseñador;Educador,Sí,25-29,25-29,26-27,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Master;Doctorado;Autodidacta,Análisis de Sistemas;Ing. Informática,BASTANTE,HOMBRE,45-49,21.000.000 a 24.000.000 Gs.,JavaScript;PHP;Python;Java;C;C#;C++;HTML/CSS;SQL;Haskell,Angular;Angular.js;JQuery;Spring;Django,Node.js;Hadoop,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle;Firebase,GNU/Linux;AWS;WordPress,Java,JavaScript,Spring,,GitHub;Slack;GitLab;Jira;Google Suite;Confluence
2021/03/01 7:34:25 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack;Project Lead,,Sí,10-14,5-9,12-13,Ed. Secundaria;Autodidacta,Análisis de Sistemas,+ || -,HOMBRE,25-29,9.000.000 a 12.000.000 Gs.,JavaScript;Java;Go;HTML/CSS;SQL;Genexus,React.js;Angular.js;Spring,Node.js,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Oracle;Firebase,GNU/Linux;Microsoft Windows;MacOS;Docker,Java,Fox Pro,Spring,Angular,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/01 7:35:56 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end,,Sí,5-9,5-9,10-11,Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,+ || -,HOMBRE,35-39,5.000.000 a 7.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL,Angular;JQuery;Vue.js;Spring;Django;Laravel;CodeIgniter,Node.js,MySQL;MariaDB;PostgreSQL,GNU/Linux;Microsoft Windows;Docker,PHP,C#,Laravel,ASP.NET,Slack;GitLab;Trello
2021/03/01 7:38:00 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Project Lead,,Sí,15-19,10-14,14-15,Ed. Universitaria;Autodidacta,Análisis de Sistemas,+ || -,HOMBRE,35-39,9.000.000 a 12.000.000 Gs.,JavaScript;Python;Java;C#;SQL;Bash/Shell/PowerShell;VBA,JQuery;Vue.js;Spring,.NET;Pandas,MySQL;MariaDB;Microsoft SQL Server;SQLite;MongoDB;Oracle,GNU/Linux;Microsoft Windows;Docker,Python,Java,Vue.js,Spring,GitHub;Jira;Google Suite;Microsoft Team
2021/03/01 7:39:10 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end,,Sí,5-9,5-9,10-11,Ed. Universitaria,Análisis de Sistemas,NO,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL,,,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Oracle,Microsoft Windows,PHP,JavaScript,,,GitHub;Google Suite;Microsoft Team;Trello
2021/03/01 7:39:33 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack;Dev de sistemas embebidos;Project Lead,,Sí,10-14,5-9,18-19,Ed. Universitaria,Programación;Análisis de Sistemas,MUY,HOMBRE,25-29,9.000.000 a 12.000.000 Gs.,JavaScript;Java;C++;HTML/CSS;SQL,React.js;Angular.js;JQuery;Spring,Node.js,MySQL;MariaDB;PostgreSQL;MongoDB;Redis,GNU/Linux;MacOS;Docker;Raspberry Pi,Java,PHP,Spring,Angular,GitHub;GitLab;Microsoft Team;Trello
2021/03/01 7:40:02 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack;Dev mobile,,Sí,<5,<5,<10,Ed. Universitaria;Autodidacta,Programación;Ing. Informática,+ || -,MUJER,20-24,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;PHP;Python;HTML/CSS;SQL,React.js;Angular;Angular.js;JQuery;Laravel;CodeIgniter,Node.js;React Native,MySQL;MariaDB;PostgreSQL;SQLite,GNU/Linux;Android;iOS,JavaScript,Java,Laravel,,GitHub;Trello
2021/03/01 7:40:08 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Aps de escritorio o empresariales;QA o testing;Project Lead,,No,5-9,<5,18-19,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Análisis de Sistemas,BASTANTE,HOMBRE,25-29,9.000.000 a 12.000.000 Gs.,JavaScript;Java;HTML/CSS;SQL;Dart,JQuery;Spring;Django,Flutter,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle,GNU/Linux;Microsoft Windows;MacOS,Java,PHP,Spring,Angular,GitHub;GitLab;Jira;Google Suite;Microsoft Team;Trello;Discord
2021/03/01 7:40:22 p. m. GMT-3,Hibrído,Ambas,Dev back-end;Dev front-end;Dev full-stack;DB Admin,Sys Admin,Sí,<5,<5,<10,Ed. Universitaria;Autodidacta,Ing. Informática;Otras,CRITICO,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Angular;Angular.js;JQuery;Express;Spring;Django;Flask;Laravel,Node.js,MySQL;MariaDB;PostgreSQL;MongoDB;IBM DB2,GNU/Linux;Microsoft Windows;Docker;WordPress;Heroku;Arduino,JavaScript,Fox Pro,React.js,Ruby on Rails,GitHub;Slack;GitLab;Jira;Google Suite;Trello;Facebook Workplace;Discord
2021/03/01 7:41:10 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack;Project Lead,Sys Admin,Sí,<5,<5,10-11,Ed. Universitaria,Ing. Informática,MUY,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;Java;HTML/CSS;SQL,JQuery,,Oracle,GNU/Linux;Microsoft Windows,Java,Assembly,Spring,,Slack;GitLab
2021/03/01 7:41:14 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;QA o testing;DB Admin,Sys Admin;Inv. Cientifico,Sí,5-9,<5,20-21,Ed. Universitaria,Análisis de Sistemas,CRITICO,HOMBRE,30-34,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;Python;Ruby;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell;Oracle form,React.js;Angular;Spring;Django;Laravel;Ruby on Rails,Node.js;.NET;NET Core;Pandas;Ansible;Puppet;Chef,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Redis;Oracle;Cassandra;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Docker;Raspberry Pi;Kubernetes,Java,PHP,Spring,Laravel,GitHub;Slack;GitLab;Jira;Confluence;Microsoft Team;Trello;Discord
2021/03/01 7:43:50 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack,,Sí,5-9,5-9,18-19,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,BASTANTE,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Java;C#;C++;HTML/CSS;SQL,Express;Laravel,Node.js;.NET,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB,GNU/Linux;Microsoft Windows;AWS,JavaScript,C++,Laravel,Angular,GitHub;Slack;GitLab;Google Suite;Trello;Discord
2021/03/01 7:46:45 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev front-end,,Sí,<5,<5,<10,Ed. Secundaria,Programación,BASTANTE,HOMBRE,20-24,< 2.192.839 Gs.,JavaScript;HTML/CSS,,Node.js,,Microsoft Windows,HTML/CSS,,,,Jira
2021/03/01 7:47:31 p. m. GMT-3,Remoto,Internacional,Dev back-end,,Sí,30-34,30-34,>30,Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,HOMBRE,40-44,> 27.000.000 Gs.,JavaScript;PHP;Python;C++;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Assembly;R;Dart;VBA;Oracle form;Genexus;Fox Pro;COBOL,React.js;Express;Vue.js,Node.js;Flutter,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;IBM DB2;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Raspberry Pi;Google Cloud Platform;Kubernetes;Heroku;Arduino,JavaScript,Java,Vue.js,ASP.NET,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Trello;Discord
2021/03/01 7:47:49 p. m. GMT-3,Hibrído,Internacional,Aps de escritorio o empresariales,Diseñador,Sí,5-9,5-9,10-11,Ed. Universitaria,Programación;Análisis de Sistemas,MUY,NO COMPARTO,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;VBA,JQuery;ASP.NET,Node.js;.NET,PostgreSQL;Microsoft SQL Server;Oracle;Cassandra,GNU/Linux;Microsoft Windows,C++,Ruby,JQuery,ASP.NET,GitHub;GitLab;Jira;Google Suite;Microsoft Team
2021/03/01 7:49:49 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev mobile;Dev de sistemas embebidos;Aps de escritorio o empresariales;QA o testing;DB Admin;Project Lead,Sys Admin;Data Scientist ML Specialist;Inv. Cientifico;Diseñador,Sí,10-14,10-14,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas;Otras,+ || -,HOMBRE,30-34,18.000.000 a 21.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Perl;VBA;Oracle form;Fox Pro,React.js;Angular;Angular.js;JQuery;ASP.NET;Express;ASP.NET Core;Vue.js;Spring;Django;Flask;Laravel;Symfony;CodeIgniter;CakePHP;Ruby on Rails,Node.js;.NET;NET Core;Pandas;TensorFlow;React Native;Flutter;Cordova;Xamarin,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase;IBM DB2,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;Kubernetes;Heroku;Arduino,C++,Genexus,JQuery,,GitHub;GitLab;Jira;Google Suite;Microsoft Team;Trello
2021/03/01 7:52:05 p. m. GMT-3,Remoto,Internacional,QA o testing,,Sí,5-9,<5,12-13,Ed. Universitaria,Programación,+ || -,MUJER,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;Java;C;C++;HTML/CSS;SQL;Haskell,JQuery,,MySQL;PostgreSQL;Microsoft SQL Server;Oracle;Cassandra,Microsoft Windows,Java,,,,GitLab;Jira;Google Suite;Microsoft Team
2021/03/01 7:54:28 p. m. GMT-3,Hibrído,Nacional (Paraguay),Aps de escritorio o empresariales;QA o testing;DB Admin,Sys Admin;Diseñador,No,10-14,5-9,10-11,Ed. Universitaria;Autodidacta,Ing. Informática,MUY,HOMBRE,30-34,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL;VBA,JQuery,.NET,MySQL;MariaDB;Microsoft SQL Server,Microsoft Windows,VBA,Java,JQuery,Express,Google Suite
2021/03/01 7:58:16 p. m. GMT-3,Presencial,Nacional (Paraguay),Project Lead,Sys Admin,Sí,5-9,,<10,Ed. Universitaria,Análisis de Sistemas;Ing. Electrónica,MUY,HOMBRE,35-39,9.000.000 a 12.000.000 Gs.,Python;C;C#,Laravel,,MySQL;PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows;Raspberry Pi,Python,Assembly,ASP.NET Core,Flask,GitHub;Slack;GitLab;Jira;Google Suite;Microsoft Team;Trello
2021/03/01 8:04:00 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev mobile;Project Lead,,Sí,10-14,15-19,18-19,Ed. Basica;Ed. Secundaria;Autodidacta,Ninguna,+ || -,HOMBRE,35-39,9.000.000 a 12.000.000 Gs.,JavaScript;PHP;Python;Java;HTML/CSS;SQL;Objective-C,Angular.js;JQuery;Laravel,Cordova,MySQL;MariaDB,Microsoft Windows;MacOS;Android,PHP,,Laravel,,Jira;Google Suite;Trello
2021/03/01 8:13:59 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end,,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Análisis de Sistemas;Otras,+ || -,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL,JQuery;Laravel,,MySQL;MariaDB;PostgreSQL,Microsoft Windows;Microsoft Azure,PHP,,Laravel,Angular,GitHub;GitLab;Jira;Google Suite;Trello;Discord
2021/03/01 8:16:37 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev full-stack,Data Scientist ML Specialist,Sí,5-9,5-9,18-19,Master,Ing. Informática,MUY,HOMBRE,35-39,12.000.000 a 15.000.000 Gs.,Python;SQL,,Pandas;TensorFlow;Keras;Torch/PyTorch;Hadoop,Microsoft SQL Server,GNU/Linux;Microsoft Windows,Python,,,,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team
2021/03/01 8:19:44 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack;Dev mobile,Diseñador,Sí,5-9,5-9,18-19,Ed. Universitaria,Ing. Informática,NO,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL;Dart,React.js;JQuery;Laravel,Node.js;TensorFlow;Flutter,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Firebase,GNU/Linux;Microsoft Windows;MacOS;Android;Microsoft Azure;Google Cloud Platform;iOS,PHP,C,Laravel,,GitHub;Jira;Confluence;Microsoft Team;Microsoft Azure;Trello;Discord
2021/03/01 8:25:19 p. m. GMT-3,Presencial,Nacional (Paraguay),QA o testing,,Sí,<5,<5,<10,Ed. Universitaria;Autodidacta,Programación;Ing. Informática,BASTANTE,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;PHP;Java;HTML/CSS,Angular.js;Laravel,,MySQL;PostgreSQL,GNU/Linux;Microsoft Windows,Java,JavaScript,Angular,React.js,GitHub;Jira;Confluence;Microsoft Azure
2021/03/01 8:28:19 p. m. GMT-3,Hibrído,Ambas,Dev back-end;Dev front-end;DB Admin,,Sí,5-9,5-9,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática,BASTANTE,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;JQuery;Express;Laravel;CodeIgniter;CakePHP,Node.js,MySQL;MariaDB;Microsoft SQL Server,GNU/Linux;Microsoft Windows;Docker;AWS,PHP,,CakePHP,Angular.js,GitHub;Slack;Google Suite;Trello
2021/03/01 8:30:47 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end,Sys Admin,Sí,5-9,<5,10-11,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;Java;C#;SQL;Genexus,React.js;ASP.NET,Node.js;.NET,MySQL;PostgreSQL;Microsoft SQL Server;Oracle;Firebase,GNU/Linux;Microsoft Windows;Docker,Genexus,,React.js,,Slack;Google Suite;Confluence;Microsoft Team;Trello
2021/03/01 8:33:55 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack,,Sí,5-9,5-9,18-19,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Ing. Informática,MUY,HOMBRE,25-29,9.000.000 a 12.000.000 Gs.,JavaScript;Java;HTML/CSS;SQL,React.js;Angular;Angular.js;JQuery,Node.js;React Native;Unity 3D;Unreal Engine,MySQL;PostgreSQL;Microsoft SQL Server;Oracle,GNU/Linux;Microsoft Windows;AWS;Android,JavaScript,,React.js,,GitHub;GitLab;Google Suite;Microsoft Team;Trello;Discord
2021/03/01 8:39:20 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev front-end;Dev mobile,,Sí,<5,5-9,16-17,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,HOMBRE,25-29,< 2.192.839 Gs.,JavaScript;PHP;Java;C++;HTML/CSS;SQL,,React Native,MySQL;MariaDB;Oracle,Microsoft Windows;Android;WordPress,Java,,React.js,Angular.js,GitHub;Google Suite;Trello
2021/03/01 8:50:25 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev mobile,,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,MUY,HOMBRE,20-24,< 2.192.839 Gs.,JavaScript;TypeScript;C#;HTML/CSS,Angular,Node.js;Cordova,PostgreSQL;Firebase,Microsoft Windows;Google Cloud Platform,TypeScript,C,Angular,JQuery,GitHub;GitLab;Discord
2021/03/01 8:51:09 p. m. GMT-3,Remoto,Internacional,Dev mobile,,Sí,<5,<5,<10,Ed. Secundaria;Autodidacta,Ninguna,+ || -,HOMBRE,15-19,7.000.000 a 9.000.000 Gs.,Java;C++;Go;SQL;Dart;Oracle form,,Flutter,MySQL;PostgreSQL;MongoDB;Redis;Oracle;Firebase,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;iOS;Kubernetes;Heroku;Arduino,Dart,Oracle form,,,GitHub;Slack;GitLab;Jira;Google Suite;Trello;Discord
