"Marca temporal","Modalidad","Trabajo","Tipo de trabajo","DevOps","Codificar por trabajo","Experiencia en TI","Experiencia en codificación ","Primera línea de código en una máquina","Educación","Carreras o especialidades","Importancia educación formal","Género","Edad actual ","Salario mensual","Programación, scripting y lenguajes de marcado","Librerías o web frameworks","Otras frameworks, librerías y herramientas","Base de datos","Plataformas","Lenguaje favorito","Lenguaje más odiado","Framework favorito","Framework más odiado","Herramientas"
"2021/03/01 7:47:49 p. m. GMT-3","Hibrído","Internacional","Aplicaciones de escritorio o empresariales","Diseñador","Sí","5 a 9 años","5 a 9 años","10 a 11 años","Educación universitaria","Programación;Análisis de sistemas","Muy importante","Prefiero no compartir","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;VBA","JQuery;ASP.NET","Node.js;.NET","PostgreSQL;Microsoft SQL Server;Oracle;Cassandra","GNU/Linux;Microsoft Windows","C++","Ruby","JQuery","ASP.NET","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team"
"2021/03/01 7:49:49 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador mobile;Desarrollador de sistemas embebidos;Aplicaciones de escritorio o empresariales;QA o testing;Administrador de base de datos;Project Leader","Administrador de sistemas;Científico de datos o especialista Machine Learning;Investigador científico;Diseñador","Sí","10 a 14 años","10 a 14 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas;Otras","Más o menos importante","Hombre","30 a 34 años","Entre 18.000.000 a 21.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Perl;VBA;Oracle form;Fox Pro","React.js;Angular;Angular.js;JQuery;ASP.NET;Express;ASP.NET Core;Vue.js;Spring;Django;Flask;Laravel;Symfony;CodeIgniter;CakePHP;Ruby on Rails","Node.js;.NET;NET Core;Pandas;TensorFlow;React Native;Flutter;Cordova;Xamarin","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase;IBM DB2","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;Kubernetes;Heroku;Arduino","C++","Genexus","JQuery","","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/01 7:52:05 p. m. GMT-3","Remoto","Internacional","QA o testing","","Sí","5 a 9 años","Menos de 5 años","12 a 13 años","Educación universitaria","Programación","Más o menos importante","Mujer","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;Java;C;C++;HTML/CSS;SQL;Haskell","JQuery","","MySQL;PostgreSQL;Microsoft SQL Server;Oracle;Cassandra","Microsoft Windows","Java","","","","GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team"
"2021/03/01 7:54:28 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales;QA o testing;Administrador de base de datos","Administrador de sistemas;Diseñador","No","10 a 14 años","5 a 9 años","10 a 11 años","Educación universitaria;Autodidacta","Ingeniero Informática","Muy importante","Hombre","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;HTML/CSS;SQL;VBA","JQuery",".NET","MySQL;MariaDB;Microsoft SQL Server","Microsoft Windows","VBA","Java","JQuery","Express","Google Suite (Docs, Meet, etc)"
"2021/03/01 7:58:16 p. m. GMT-3","Presencial","Nacional (Paraguay)","Project Leader","Administrador de sistemas","Sí","5 a 9 años","","Menos de 10 años","Educación universitaria","Análisis de sistemas;Ingeniero Electrónica","Muy importante","Hombre","35 a 39 años","Entre 9.000.000 a 12.000.000 gs","Python;C;C#","Laravel","","MySQL;PostgreSQL;Microsoft SQL Server","GNU/Linux;Microsoft Windows;Raspberry Pi","Python","Assembly","ASP.NET Core","Flask","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/01 8:04:00 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador mobile;Project Leader","","Sí","10 a 14 años","15 a 19 años","18 a 19 años","Educación básica;Educación secundaria;Autodidacta","Ninguna","Más o menos importante","Hombre","35 a 39 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;PHP;Python;Java;HTML/CSS;SQL;Objective-C","Angular.js;JQuery;Laravel","Cordova","MySQL;MariaDB","Microsoft Windows;MacOS;Android","PHP","","Laravel","","Jira;Google Suite (Docs, Meet, etc);Trello"
"2021/03/01 8:13:59 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Análisis de sistemas;Otras","Más o menos importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;HTML/CSS;SQL","JQuery;Laravel","","MySQL;MariaDB;PostgreSQL","Microsoft Windows;Microsoft Azure","PHP","","Laravel","Angular","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/01 8:16:37 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador full-stack","Científico de datos o especialista Machine Learning","Sí","5 a 9 años","5 a 9 años","18 a 19 años","Master","Ingeniero Informática","Muy importante","Hombre","35 a 39 años","Entre 12.000.000 a 15.000.000 gs","Python;SQL","","Pandas;TensorFlow;Keras;Torch/PyTorch;Hadoop","Microsoft SQL Server","GNU/Linux;Microsoft Windows","Python","","","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team"
"2021/03/01 8:19:44 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Desarrollador mobile","Diseñador","Sí","5 a 9 años","5 a 9 años","18 a 19 años","Educación universitaria","Ingeniero Informática","No importa, no es necesario","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;HTML/CSS;SQL;Dart","React.js;JQuery;Laravel","Node.js;TensorFlow;Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Firebase","GNU/Linux;Microsoft Windows;MacOS;Android;Microsoft Azure;Google Cloud Platform;iOS","PHP","C","Laravel","","GitHub;Jira;Confluence;Microsoft Team;Microsoft Azure;Trello;Discord"
"2021/03/01 8:25:19 p. m. GMT-3","Presencial","Nacional (Paraguay)","QA o testing","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación universitaria;Autodidacta","Programación;Ingeniero Informática","Bastante importante","Hombre","25 a 29 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;PHP;Java;HTML/CSS","Angular.js;Laravel","","MySQL;PostgreSQL","GNU/Linux;Microsoft Windows","Java","JavaScript","Angular","React.js","GitHub;Jira;Confluence;Microsoft Azure"
"2021/03/01 8:28:19 p. m. GMT-3","Hibrído","Ambas","Desarrollador back-end;Desarrollador front-end;Administrador de base de datos","","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas;Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;JQuery;Express;Laravel;CodeIgniter;CakePHP","Node.js","MySQL;MariaDB;Microsoft SQL Server","GNU/Linux;Microsoft Windows;Docker;AWS","PHP","","CakePHP","Angular.js","GitHub;Slack;Google Suite (Docs, Meet, etc);Trello"
"2021/03/01 8:30:47 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end","Administrador de sistemas","Sí","5 a 9 años","Menos de 5 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Muy importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;Java;C#;SQL;Genexus","React.js;ASP.NET","Node.js;.NET","MySQL;PostgreSQL;Microsoft SQL Server;Oracle;Firebase","GNU/Linux;Microsoft Windows;Docker","Genexus","","React.js","","Slack;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team;Trello"
"2021/03/01 8:33:55 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack","","Sí","5 a 9 años","5 a 9 años","18 a 19 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;Java;HTML/CSS;SQL","React.js;Angular;Angular.js;JQuery","Node.js;React Native;Unity 3D;Unreal Engine","MySQL;PostgreSQL;Microsoft SQL Server;Oracle","GNU/Linux;Microsoft Windows;AWS;Android","JavaScript","","React.js","","GitHub;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Trello;Discord"
"2021/03/01 8:39:20 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador front-end;Desarrollador mobile","","Sí","Menos de 5 años","5 a 9 años","16 a 17 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Análisis de sistemas","Bastante importante","Hombre","25 a 29 años","Menos del salario mínimo ( 2.192.839 gs)","JavaScript;PHP;Java;C++;HTML/CSS;SQL","","React Native","MySQL;MariaDB;Oracle","Microsoft Windows;Android;WordPress","Java","","React.js","Angular.js","GitHub;Google Suite (Docs, Meet, etc);Trello"
"2021/03/01 8:50:25 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador mobile","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Ingeniero Informática","Muy importante","Hombre","20 a 24 años","Menos del salario mínimo ( 2.192.839 gs)","JavaScript;TypeScript;C#;HTML/CSS","Angular","Node.js;Cordova","PostgreSQL;Firebase","Microsoft Windows;Google Cloud Platform","TypeScript","C","Angular","JQuery","GitHub;GitLab;Discord"
"2021/03/01 8:51:09 p. m. GMT-3","Remoto","Internacional","Desarrollador mobile","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación secundaria;Autodidacta","Ninguna","Más o menos importante","Hombre","15 a 19 años","Entre 7.000.000 a 9.000.000 gs","Java;C++;Go;SQL;Dart;Oracle form","","Flutter","MySQL;PostgreSQL;MongoDB;Redis;Oracle;Firebase","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;iOS;Kubernetes;Heroku;Arduino","Dart","Oracle form","","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/01 8:51:25 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Administrador de base de datos;Project Leader","Administrador de sistemas;Científico de datos o especialista Machine Learning","Sí","10 a 14 años","10 a 14 años","10 a 11 años","Educación básica;Educación secundaria;Educación universitaria;Master","Análisis de sistemas;Ingeniero Informática","Muy importante","Hombre","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;PHP;Python;SQL;Oracle form","React.js;Laravel","Pandas;TensorFlow;React Native","MySQL;MariaDB;PostgreSQL;Oracle","GNU/Linux;Microsoft Windows;MacOS;Docker","Oracle form","Genexus","Laravel","","GitHub;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/01 8:55:23 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end","Administrador de sistemas","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Ingeniero Informática","No importa, no es necesario","Hombre","20 a 24 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;PHP","React.js;Vue.js;Laravel","","MySQL;PostgreSQL;SQLite;MongoDB","GNU/Linux;Microsoft Windows;MacOS","PHP","Java","Laravel","CakePHP","GitHub;Slack;Trello;Discord"
"2021/03/01 9:02:47 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación secundaria","Programación;Análisis de sistemas;Ingeniero Informática","Bastante importante","Hombre","20 a 24 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;TypeScript;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Express;Django;Flask","Node.js","MySQL;PostgreSQL;MongoDB;Oracle","GNU/Linux;Microsoft Windows;MacOS","Python","Java","React.js","Django","GitHub;Google Suite (Docs, Meet, etc)"
"2021/03/01 9:05:06 p. m. GMT-3","Hibrído","Nacional (Paraguay)","QA o testing","","Sí","20 a 24 años","Menos de 5 años","12 a 13 años","Educación universitaria","Programación;Análisis de sistemas","Bastante importante","Hombre","40 a 44 años","Entre 5.000.000 a 7.000.000 gs","Python;C;HTML/CSS;SQL;Bash/Shell/PowerShell;Genexus","","","MySQL;IBM DB2","GNU/Linux;Microsoft Windows;Docker;Android;WordPress","Python","Java","Django","ASP.NET","GitHub;Jira;Google Suite (Docs, Meet, etc)"
"2021/03/01 9:08:37 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Project Leader","","Sí","5 a 9 años","5 a 9 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;Python;Java;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Oracle form","React.js;Angular.js","Node.js","PostgreSQL;Oracle","GNU/Linux;MacOS;Docker;AWS","Java","","React.js","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/01 9:10:20 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Administrador de base de datos","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria;Autodidacta","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Angular;Angular.js;JQuery;Spring;Django;Flask","Node.js;Cordova","MySQL;PostgreSQL;Microsoft SQL Server;Oracle;IBM DB2","GNU/Linux;Microsoft Windows;Docker;WordPress","Java","","Angular","","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/01 9:31:16 p. m. GMT-3","Ninguna de las anteriores","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales","Educador","No","15 a 19 años","15 a 19 años","24 a 25 años","Educación universitaria","Programación;Ingeniero Informática","Bastante importante","Hombre","40 a 44 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;C;HTML/CSS;Fox Pro","","","MySQL;MariaDB","GNU/Linux;Microsoft Windows","PHP","Java","","","Microsoft Team"
"2021/03/01 9:33:49 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Aplicaciones de escritorio o empresariales","","Sí","10 a 14 años","10 a 14 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;PHP;Python;Java;Kotlin;C#;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Objective-C;Dart;Oracle form","Angular;ASP.NET;ASP.NET Core;Vue.js;Spring;Django;Flask","Node.js;.NET;Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase","Microsoft Windows;MacOS;iOS","Python","Bash/Shell/PowerShell","Vue.js","React.js","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team"
"2021/03/01 9:34:31 p. m. GMT-3","Hibrído","Internacional","Desarrollador back-end;Project Leader","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Más o menos importante","Hombre","30 a 34 años","Entre 15.000.000 a 18.000.000 gs","Ruby;Java;HTML/CSS;SQL","Spring;Ruby on Rails","React Native","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Redis;Elasticsearch","GNU/Linux;MacOS;Docker","Ruby","Objective-C","Ruby on Rails","Spring","GitHub;Slack;Jira;Google Suite (Docs, Meet, etc);Confluence;Trello"
"2021/03/01 10:23:35 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;QA o testing;Administrador de base de datos;Project Leader","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","16 a 17 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas","Bastante importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;Java;SQL","JQuery;Spring;Laravel","","MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Oracle;Elasticsearch","GNU/Linux;Microsoft Windows","Java","Ruby","Laravel","ASP.NET Core","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/01 10:31:01 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador de sistemas embebidos","Diseñador","Sí","Menos de 5 años","Menos de 5 años","14 a 15 años","Educación universitaria","Programación;Análisis de sistemas","No importa, no es necesario","Hombre","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","HTML/CSS;Genexus","","","Microsoft SQL Server","Microsoft Windows","Genexus","Java","","",""
"2021/03/01 10:57:49 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","25 a 29 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Angular;JQuery;Express;Spring;Django","Node.js;Pandas","MySQL;PostgreSQL;SQLite;MongoDB;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;Android","Java","","Django","","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team"
"2021/03/01 11:04:25 p. m. GMT-3","Remoto","Internacional","Desarrollador back-end;Desarrollador full-stack","Administrador de sistemas","Sí","10 a 14 años","15 a 19 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria;Master","Ingeniero Informática;Otras","No importa, no es necesario","Hombre","30 a 34 años","Más de 27.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell;Rust","React.js;JQuery;Express;Django;Flask;Laravel","Node.js","MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Redis;Elasticsearch","GNU/Linux;MacOS;Docker;AWS;Kubernetes","Python","PHP","Django","ASP.NET Core","Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/01 11:26:58 p. m. GMT-3","Hibrído","Ambas","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack","Administrador de sistemas","No","Menos de 5 años","Menos de 5 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Análisis de sistemas;Ingeniero Informática","Muy importante","Hombre","15 a 19 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;TypeScript;PHP;Python;C++;HTML/CSS;SQL;Dart","React.js;Angular;Angular.js;JQuery;Express;Vue.js;Django;Flask;Laravel;Gatsby","Node.js;Pandas;TensorFlow;React Native;Unity 3D;Flutter;Unreal Engine","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Firebase","GNU/Linux;Microsoft Windows;Docker;Raspberry Pi;Heroku","Python","C#","React.js","ASP.NET","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure;Trello;Discord"
"2021/03/01 11:38:30 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Administrador de base de datos","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación universitaria","Otras","Bastante importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","Python;HTML/CSS;SQL;Bash/Shell/PowerShell;Rust","Django","Pandas","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle","GNU/Linux;Microsoft Windows","SQL","VBA","","","GitHub;Microsoft Team"
"2021/03/02 12:21:05 a. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador mobile;Desarrollador de sistemas embebidos;Aplicaciones de escritorio o empresariales","","Sí","5 a 9 años","5 a 9 años","16 a 17 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Análisis de sistemas;Ingeniero Informática","Muy importante","Mujer","30 a 34 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;PHP;Python;Java;C;C#;HTML/CSS;SQL;Fox Pro","JQuery;ASP.NET;ASP.NET Core;Django;Laravel",".NET;NET Core","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Oracle","GNU/Linux;Microsoft Windows;MacOS;Android;WordPress","C#","Fox Pro","Laravel","","GitHub;Slack;GitLab;Jira;Discord"
"2021/03/02 12:26:17 a. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end","Administrador de sistemas","Sí","10 a 14 años","5 a 9 años","Menos de 10 años","Educación básica;Educación secundaria","Programación","Más o menos importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;PHP;Go;HTML/CSS;SQL","React.js;JQuery;Express","Node.js;React Native","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;DynamoDB;IBM DB2","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Microsoft Azure;Google Cloud Platform","TypeScript","Java","React.js","Spring","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/02 12:29:27 a. m. GMT-3","Remoto","Internacional","Desarrollador front-end","","Sí","5 a 9 años","5 a 9 años","16 a 17 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Ingeniero Informática","Más o menos importante","Hombre","25 a 29 años","Más de 27.000.000 gs","JavaScript;TypeScript;Java;Go;HTML/CSS","React.js","Node.js","MySQL;PostgreSQL;MongoDB;Oracle;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;AWS;Google Cloud Platform","JavaScript","Java","React.js","Angular.js","GitHub;Slack;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/02 12:32:15 a. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack","","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación universitaria","Análisis de sistemas;Ingeniero Informática","Más o menos importante","Mujer","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;C#;HTML/CSS;SQL;Fox Pro","JQuery;ASP.NET;ASP.NET Core",".NET;NET Core","PostgreSQL;Microsoft SQL Server;Oracle","Microsoft Windows;Microsoft Azure","C#","","ASP.NET Core","","GitHub;Microsoft Team;Microsoft Azure"
"2021/03/02 12:40:33 a. m. GMT-3","Presencial","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales;Administrador de base de datos","Administrador de sistemas","Sí","Menos de 5 años","Menos de 5 años","20 a 21 años","Educación universitaria","Análisis de sistemas","Muy importante","Mujer","30 a 34 años","Entre 2.192.839 gs a 3.500.000 gs","SQL;Oracle form","ASP.NET;Express",".NET","Microsoft SQL Server","Microsoft Windows","SQL","Java","ASP.NET","React.js","Google Suite (Docs, Meet, etc);Discord"
"2021/03/02 1:03:05 a. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end","","Sí","Menos de 5 años","Menos de 5 años","12 a 13 años","Educación universitaria","Ingeniero Informática","Más o menos importante","Hombre","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;Java;HTML/CSS;Bash/Shell/PowerShell","Spring","","MySQL;PostgreSQL;Microsoft SQL Server;Oracle;IBM DB2","GNU/Linux;Microsoft Windows","Java","JavaScript","Spring","JQuery","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team;Trello"
"2021/03/02 1:12:52 a. m. GMT-3","Remoto","Ambas","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Administrador de base de datos","Administrador de sistemas","Sí","15 a 19 años","15 a 19 años","14 a 15 años","Educación básica;Educación secundaria","Ninguna","Muy importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;PHP;Python;Java;Kotlin;C#;HTML/CSS;SQL;Fox Pro","JQuery;Vue.js;Laravel","Node.js;.NET;NET Core","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Redis;Oracle;IBM DB2","GNU/Linux;Microsoft Windows;Android;Microsoft Azure;WordPress;Arduino","JavaScript","Fox Pro","Laravel","","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure;Trello;Discord"
"2021/03/02 1:14:10 a. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador mobile;Administrador de base de datos","","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Ingeniero Informática","Muy importante","Hombre","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;Python;Java;HTML/CSS;SQL;Swift;Objective-C","JQuery;Vue.js;Laravel;CodeIgniter","Node.js;React Native","MySQL;PostgreSQL;Microsoft SQL Server","GNU/Linux;Microsoft Windows;MacOS;Android;iOS","PHP","Java","Laravel","CakePHP","GitHub;Slack;Jira;Trello"
"2021/03/02 2:13:21 a. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack","","Sí","Menos de 5 años","5 a 9 años","10 a 11 años","Educación universitaria;Autodidacta","Programación","Muy importante","Hombre","25 a 29 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;Java;HTML/CSS;SQL","React.js;Angular;Angular.js;JQuery","React Native","MySQL;PostgreSQL;Oracle","Microsoft Windows","TypeScript","PHP","Angular","JQuery","GitHub;GitLab;Jira"
"2021/03/02 4:25:26 a. m. GMT-3","Remoto","Internacional","Desarrollador full-stack","Científico de datos o especialista Machine Learning;Investigador científico","Sí","10 a 14 años","10 a 14 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria;Master;Autodidacta","Análisis de sistemas;Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 18.000.000 a 21.000.000 gs","JavaScript;PHP;Python;Java;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Perl","React.js;Angular.js;JQuery;ASP.NET;ASP.NET Core;Spring;Django;Flask;CodeIgniter",".NET;Pandas;TensorFlow;Ansible;Keras;Torch/PyTorch;Hadoop;Puppet;Chef","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle","GNU/Linux;Microsoft Windows;Docker;AWS;Android;WordPress","Python","R","Django","Spring","GitHub;Slack;Google Suite (Docs, Meet, etc);Trello"
