Marca temporal,Lugar de residencia.,Si selecciono PARAGUAY como lugar de residencia. Puede indicar el departamento en el que vive actualmente.,Como calificaría el estado de las calles en su lugar de residencia.,Considera que exista un problema de baches en su lugar de residencia.,Puede hacer una estimación de la cantidad de baches en su lugar de residencia.,Tipo de camino en su lugar de residencia.,Cuanto tiempo cree que demora la reparación de baches en su lugar de residencia.,Conoce algún método para denunciar la existencia de baches en su lugar de residencia.,"Puede acceder a información sobre los baches de su lugar de residencia. (Denuncias, ubicación y tareas de reparación de baches.)",Usted sufrió accidentes a causa de baches en su lugar de residencia.,"Si tiene vehículo. Cuan frecuentemente debe hacer mantenimiento a causa del estado de las calles o baches de su lugar de residencia.",Denunciaría la existencia de baches en su lugar de residencia.,Cree que seria util conocer la ubicación y otros datos de los baches en su lugar de residencia.,Si considera que su lugar de residencia tiene un problema de baches. Como califica la repuesta gubernamental al problema.,Puede estimar la regularidad con la que se reparan las calles en su lugar de residencia actual.
3/11/2022 10:42:46,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 10:59:35,Peru,,Malo,SI,MUCHOS,ASFALTO,POCO,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 11:20:05,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,SI,SI,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 11:28:47,Paraguay,Cordillera,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 11:29:13,Paraguay,Central,Malo,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 11:49:22,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,BUENA,NUNCA
3/11/2022 11:52:08,Paraguay,Distrito Capital,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 11:56:01,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,NO SE,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 12:00:17,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 12:27:04,Paraguay,Alto Paraná,,SI,MUCHOS,PIEDRA,MUCHO,SI,NO SE,NO NUNCA,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
3/11/2022 12:31:47,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 12:35:17,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 12:47:48,Dominican Republic,,Bueno,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO NUNCA,,SI,SI,BUENA,REGULARMENTE
3/11/2022 12:49:30,Spain,,Exelente,SI,MUCHOS,ASFALTO,POCO,NO,NO,NO,,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 13:19:42,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
3/11/2022 14:15:03,Paraguay,Cordillera,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,SI,NO SE,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 14:35:44,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 14:42:18,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 14:48:51,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,NO,SI,LAMENTABLE,NUNCA
3/11/2022 14:48:59,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
3/11/2022 14:50:19,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 14:54:16,Brazil,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,,SI,SI,LAMENTABLE,NUNCA
3/11/2022 14:55:58,Dominican Republic,,Bueno,SI,POCOS,ASFALTO,POCO,NO,NO,NO,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
3/11/2022 14:59:07,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,NO,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
3/11/2022 15:00:55,Paraguay,Central,Bueno,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,FRECUENTEMENTE,SI,NO SE,LAMENTABLE,REGULARMENTE
3/11/2022 15:23:47,Paraguay,Distrito Capital,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
3/11/2022 15:51:30,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 15:55:02,Mexico,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,SI,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 16:09:57,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,NO,REGULARMENTE,NO,SI,BUENA,NUNCA
3/11/2022 16:32:35,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO SE,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 16:34:53,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,SI,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,,NUNCA
3/11/2022 17:07:26,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 17:25:38,Honduras,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,SI,BUENA,REGULARMENTE
3/11/2022 17:30:25,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,POCO,SI,SI,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 17:39:49,Argentina,,Malo,SI,NO SE,ASFALTO,MUCHO,NO,NO SE,NO,,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 17:47:54,Paraguay,Central,Bueno,NO,POCOS,PIEDRA,MUCHO,SI,SI,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
3/11/2022 17:48:19,Mexico,,Malo,SI,POCOS,ASFALTO,MUCHO,NO,NO SE,SI,REGULARMENTE,NO,NO ME INTERESA EL TEMA,LAMENTABLE,REGULARMENTE
3/11/2022 18:16:39,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 19:10:45,Paraguay,Paraguarí,Bueno,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,NO NUNCA,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 19:30:27,Argentina,,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 20:26:32,Peru,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
3/11/2022 20:41:04,Antarctica,Caaguazú,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,SI,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 20:56:34,Bolivia,,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 21:50:33,Venezuela,,Malo,SI,MUCHOS,ASFALTO,POCO,SI,SI,NO,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
4/11/2022 0:02:20,Paraguay,Paraguarí,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
4/11/2022 1:37:58,Peru,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 10:06:04,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,SI,REGULARMENTE,NO,SI,LAMENTABLE,NUNCA
4/11/2022 10:21:42,Colombia,,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,NO,LAMENTABLE,REGULARMENTE
4/11/2022 10:27:09,Dominican Republic,,Bueno,SI,MUCHOS,ASFALTO,POCO,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
4/11/2022 10:33:08,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 10:35:05,Dominican Republic,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 10:50:07,Paraguay,Distrito Capital,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,REGULARMENTE,NO,SI,LAMENTABLE,NUNCA
4/11/2022 10:53:25,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,POCO,SI,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,
4/11/2022 10:58:19,Paraguay,Distrito Capital,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI,NO SE,LAMENTABLE,NUNCA
4/11/2022 11:09:45,Paraguay,Amambay,Bueno,SI,POCOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 11:21:41,Bolivia,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
4/11/2022 12:54:39,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 12:56:08,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO NUNCA,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 13:44:30,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 13:58:14,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
4/11/2022 14:14:53,Dominican Republic,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,,SI,SI,LAMENTABLE,NUNCA
4/11/2022 14:17:50,Paraguay,Alto Paraná,Malo,SI,NO SE,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 14:29:59,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 14:31:25,Bolivia,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
4/11/2022 14:33:22,Spain,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 15:42:43,Colombia,,Bueno,NO,NO SE,ASFALTO,POCO,NO,NO,NO,,NO,SI,BUENA,REGULARMENTE
4/11/2022 15:58:02,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 16:00:22,Mexico,,Malo,SI,MUCHOS,ASFALTO,POCO,NO,NO,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
4/11/2022 16:02:58,Paraguay,Alto Paraguay,Malo,SI,POCOS,MIXTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI,NO,LAMENTABLE,REGULARMENTE
4/11/2022 16:09:37,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,
4/11/2022 16:14:00,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 16:18:13,Argentina,,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
4/11/2022 16:30:16,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,SI,,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
4/11/2022 16:31:06,Peru,,Malo,SI,MUCHOS,MIXTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 16:34:50,Panama,,Malo,,NO SE,ASFALTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 16:48:23,Cuba,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 16:49:45,Paraguay,Central,Malo,SI,POCOS,ASFALTO,NO SE REPARAN,SI,NO,NO,REGULARMENTE,NO,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
4/11/2022 16:50:23,Spain,,Malo,SI,POCOS,ASFALTO,MUCHO,SI,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
4/11/2022 17:09:22,Dominican Republic,,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,NO,NO,LAMENTABLE,NUNCA
4/11/2022 18:18:46,Paraguay,Central,Malo,SI,MUCHOS,TIERRA,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 18:39:42,Peru,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,,SI,SI,LAMENTABLE,NUNCA
4/11/2022 19:03:57,Paraguay,Alto Paraná,Malo,SI,MUCHOS,TIERRA,POCO,SI,NO SE,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,BUENA,REGULARMENTE
4/11/2022 20:01:30,Dominican Republic,,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO SE,NO,,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
4/11/2022 21:51:27,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
4/11/2022 22:07:29,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
4/11/2022 22:16:15,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,,SI,SI,LAMENTABLE,REGULARMENTE
4/11/2022 23:26:39,El Salvador,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,NO,SI,LAMENTABLE,NUNCA
4/11/2022 23:43:22,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,SI,,SI,NO SE,LAMENTABLE,REGULARMENTE
5/11/2022 2:09:32,Mexico,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 2:33:05,Mexico,,Bueno,NO,POCOS,ASFALTO,POCO,SI,NO,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO,BUENA,REGULARMENTE
5/11/2022 7:11:09,Paraguay,Central,Lamentable,SI,POCOS,PIEDRA,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
5/11/2022 9:00:33,Paraguay,Itapúa,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 9:13:02,Paraguay,Central,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
5/11/2022 9:27:45,Venezuela,Distrito Capital,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 9:52:04,Argentina,,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 9:55:23,Honduras,,Malo,SI,MUCHOS,MIXTO,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 11:00:10,Paraguay,Itapúa,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,SI,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 11:21:38,Spain,,Bueno,NO,POCOS,MIXTO,POCO,SI,SI,NO,REGULARMENTE,SI,NO SE,BUENA,REGULARMENTE
5/11/2022 19:42:20,Paraguay,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 22:01:39,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 22:06:14,Argentina,,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 22:19:06,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 22:26:14,Bolivia,,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 22:44:53,Venezuela,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
5/11/2022 23:06:20,Colombia,,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,REGULARMENTE
6/11/2022 3:21:18,Mexico,,Malo,SI,MUCHOS,ASFALTO,POCO,SI,SI,NO,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
6/11/2022 5:23:33,Paraguay,Distrito Capital,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
6/11/2022 5:57:38,Colombia,,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,,NO,SI,,SI,NO SE,LAMENTABLE,NUNCA
6/11/2022 10:31:14,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,MUCHO,SI,SI,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
6/11/2022 13:28:15,Bolivia,,Bueno,NO,POCOS,MIXTO,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI,SI,,REGULARMENTE
6/11/2022 13:36:52,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
6/11/2022 13:42:08,Bolivia,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,NO NUNCA,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
6/11/2022 14:06:06,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
6/11/2022 14:16:08,Paraguay,Alto Paraná,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
6/11/2022 14:17:18,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
6/11/2022 14:25:03,Dominican Republic,,Bueno,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,NO,SI,LAMENTABLE,NUNCA
6/11/2022 15:58:35,Mexico,,Lamentable,SI,MUCHOS,MIXTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
7/11/2022 7:38:53,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO NUNCA,REGULARMENTE,NO,NO,BUENA,REGULARMENTE
7/11/2022 10:37:15,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
7/11/2022 14:52:24,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
8/11/2022 10:42:46,Dominican Republic,,Malo,SI,MUCHOS,TIERRA,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
8/11/2022 13:49:48,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
8/11/2022 21:10:40,Argentina,,Bueno,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO,FRECUENTEMENTE,NO,SI,BUENA,REGULARMENTE
8/11/2022 21:13:18,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
8/11/2022 21:15:48,Venezuela,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
8/11/2022 21:16:49,Mexico,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,SI,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
8/11/2022 21:22:55,Bolivia,,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
8/11/2022 21:30:40,Panama,Concepción,Bueno,NO,POCOS,ASFALTO,POCO,NO,SI,NO NUNCA,REGULARMENTE,NO,NO,BUENA,NUNCA
8/11/2022 21:31:25,Argentina,,Malo,NO,POCOS,MIXTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,NO ME INTERESA EL TEMA,LAMENTABLE,REGULARMENTE
8/11/2022 21:33:16,Bolivia,,Bueno,NO,NO SE,ASFALTO,POCO,SI,NO SE,NO,REGULARMENTE,SI,SI,BUENA,NUNCA
8/11/2022 21:34:12,Peru,,Bueno,NO,NO SE,ASFALTO,NO SE REPARAN,NO,SI,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,BUENA,NUNCA
8/11/2022 21:37:03,Argentina,,Malo,NO,NO SE,ASFALTO,NO SE REPARAN,SI,NO,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
8/11/2022 21:37:18,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
8/11/2022 21:39:47,Paraguay,Cordillera,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
8/11/2022 21:41:00,Argentina,,Bueno,NO SE,POCOS,ASFALTO,MUCHO,SI,NO SE,NO,FRECUENTEMENTE,NO,SI,BUENA,NUNCA
8/11/2022 21:43:43,Dominican Republic,,Bueno,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
8/11/2022 21:44:50,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
8/11/2022 21:46:24,Paraguay,Distrito Capital,Lamentable,SI,MUCHOS,MIXTO,MUCHO,NO,NO SE,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
8/11/2022 21:47:53,Anguilla,,Exelente,NO,NO SE,PIEDRA,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,NO,NO,EXELENTE,NUNCA
