,marca_temp,1_ocupacion,2_relacion_contractual,3_mercado_de_trabajo,4_rubro_de_trabajo,5_ROL_de_trabajo,6_años_de_experiencia,7) Nivel de seniority que Ud. considera que posee:,"8) Nivel de seniority que le asignan en su trabajo actual (aunque no sea en forma explícita, si puede inferir igual indique):",9_nivel_educativo,10_lugar_educativo,11_ingreso_mensual_en_dolares,12_beneficios_percibidos,13_remuneracion_vs_compañeros,14_habilidades_tecnicas,15_estimacion_de_vacancias,16_politicas_de_retencion_capacitacion,17_1_factores_opciones_lab,18_2_factores_opciones_lab,19_tuvo_entrev_inter,20_freq_ofert_laboral,21_mayor_dif_x_emp_internacionales,22_percep_señority,23_perf_mas_req,24_educacion_formal_internacionales,25_mayor_desafio_exterior,26_ingles_nivel_min
93,2022-09-15 12:09:57.413,fulltime,contrato_temporal,emp_loc_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,Encargado de infraestructura cloud / Cloud Architect (puede incluir DevOps),5.0,Mid-level o Associate,Mid-level o Associate,Grado,Universidad privada del Paraguay,1501 - 2000,"13er salario o aguinaldo, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Mayor,DevOps en ambiente cloud,5 - 10,Sí,Estabilidad laboral,Espacio para crecimiento profesional,Sí,Más de 10 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.",Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
94,2022-09-15 12:10:07.350,fulltime,contrato_temporal,emp_loc_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,dev / software eng,8.0,Senior,Senior,Grado,Universidad Nacional de Asunción,2001 - 2500,"13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Menor,Desarrollo web con Python (backend y/o frontend),no sé,Sí,Desafíos,Estabilidad laboral,No,No más de 2 al año,El idioma,Los criterios son similares.,"Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.",No he participado en procesos de selección para el exterior,"La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.",Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
95,2022-09-15 12:11:27.184,fulltime,contrato_temporal,emp_loc_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,Encargado de infraestructura cloud / Cloud Architect (puede incluir DevOps),8.0,Semi-senior,Senior,Grado,Universidad privada del Paraguay,1501 - 2000,"13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Trabajo híbrido (remoto y presencial), Días libres, Equipos de trabajo (laptop, otros)",Menor,DevOps en ambiente cloud,5 - 10,Sí,Espacio para crecimiento profesional,Ambiente laboral,Sí,6 a 10 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.","Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
96,2022-09-15 12:15:22.387,freelance,contrato_temporal,emp_ext_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,Product Designer,11 - 15,Senior,Senior,Maestría,Universidad privada del Paraguay,4001 - 5000,"Trabajo remoto, Días libres",Igual,No estoy directamente relacionado con tecnologías y herramientas,no sé,,Remuneración económica,Oportunidad de aprendizaje,No,6 a 10 veces al año,,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.",,No he participado en procesos de selección para el exterior,El idioma,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
97,2022-09-15 12:16:55.367,fulltime,r_dependencia,emp_local_cli_local,Sector financiero,Analista de Sist. / Business Analyst,10.0,Senior,Senior,Maestría,Otra universidad pública del Paraguay,1000 - 1500,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Trabajo híbrido (remoto y presencial), Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo backend con Java,no sé,Sí,Oportunidad de crecimiento económico,Espacio para crecimiento profesional,No,6 a 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.",No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Poder leer materiales técnicos
98,2022-09-15 12:17:02.000,fulltime,r_dependencia,emp_loc_cli_ext (puede tener también clientes en PY),Telefonía / Networking,SysAdmin,4.0,Senior,Senior,Maestría,Universidad privada del Paraguay,3001 - 3500,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Trabajo híbrido (remoto y presencial), Días libres, Equipos de trabajo (laptop, otros)",Igual,Administración de servidores y/o infraestructura on premises,menos de 5,No,Flexibilidad horaria,Oportunidad de crecimiento económico,No,6 a 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",El idioma,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
99,2022-09-15 12:17:07.456,fulltime,indef_sin_contrato,emp_local_cli_local,Salud,Admin. / Gerencial,6.0,Senior,Senior,Grado,Universidad privada del Paraguay,1000 - 1500,"Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria",No trabajo para el exterior,"Bases de datos, BI, Programación slow code",menos de 5,No,Espacio para crecimiento profesional,Remuneración inmediata,No,6 a 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Poder leer materiales técnicos
100,2022-09-15 12:19:31.576,fulltime,r_dependencia,emp_local_cli_local,soft. factory / intermediaria,dev / software eng,hasta 2,Mid-level o Associate,Mid-level o Associate,Grado,Universidad privada del Paraguay,menor a 1000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas",No trabajo para el exterior,Frontend Vue,menos de 5,No,Remuneración económica,Oportunidad de crecimiento económico,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Poder leer materiales técnicos
101,2022-09-15 12:25:39.436,parttime,indef_sin_contrato,emp_local_cli_local,soft. factory / intermediaria,dev / software eng,más de 15,Senior,Semi-senior,Grado,Universidad privada del Paraguay,menor a 1000,"Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo backend con Java,no sé,Sí,Ambiente laboral,Espacio para crecimiento profesional,No,No más de 2 al año,La experiencia previa,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.",No he participado en procesos de selección para el exterior,No trabajo para el exterior,Poder leer materiales técnicos
102,2022-09-15 12:27:32.703,fulltime,r_dependencia,emp_local_cli_local,INTEGRADOR ,Proj. Manager y/o Prog. Manager,más de 15,Senior,Senior,Maestría,Universidad privada del Paraguay,2001 - 2500,"Jubilación, Vacaciones pagas",No trabajo para el exterior,Integrador Tech,5 - 10,Sí,Remuneración económica,Oportunidad de crecimiento económico,Sí,Más de 10 veces al año,La formación académica de base (universidad),No trabajo para el exterior.,No trabajo para el exterior,La educación formal es suficiente para tener éxito en una entrevista técnica.,No trabajo para el exterior,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
103,2022-09-15 12:37:05.975,fulltime,r_dependencia,emp_local_cli_local,soft. factory / intermediaria,Proj. Manager y/o Prog. Manager,10.0,Senior,Senior,Maestría,Universidad Nacional de Asunción,1501 - 2000,"Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Trabajo híbrido (remoto y presencial), Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Supervisor de Proyectos ,5 - 10,Sí,Modalidad de trabajo remota o híbrida,Oportunidad de crecimiento económico,Sí,3 a 5 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.",,"La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",,
104,2022-09-15 12:37:45.090,fulltime,r_dependencia,emp_local_cli_local,Sector financiero,Admin. / Gerencial,más de 15,Senior,Senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,4001 - 5000,"Seguro médico, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo híbrido (remoto y presencial), Días libres, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,No estoy directamente relacionado con tecnologías y herramientas,5 - 10,Sí,Oportunidad de crecimiento económico,Espacio para crecimiento profesional,Sí,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,"La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",No trabajo para el exterior,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
105,2022-09-15 12:38:41.833,fulltime,contrato_temporal,emp_loc_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,dev / software eng,10.0,Mid-level o Associate,Mid-level o Associate,Maestría,Universidad Nacional de Asunción,2001 - 2500,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con Java,11 - 20,Sí,Espacio para crecimiento profesional,Remuneración inmediata,Sí,Más de 10 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",La falta de formación en herramientas o metodologías específicas.,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
106,2022-09-15 12:48:42.031,fulltime,indef_sin_contrato,emp_ext_cli_ext (puede tener también clientes en PY),dev. productos propios,Product Designer,5.0,Senior,Mid-level o Associate,Maestría,Universidad privada del Paraguay,más de 6000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres",Igual,No estoy directamente relacionado con tecnologías y herramientas,menos de 5,No,Modalidad de trabajo remota o híbrida,Remuneración inmediata,Sí,3 a 5 veces al año,La experiencia previa,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.",Las diferencias culturales y las habilidades blandas que se esperan de mí,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
107,2022-09-15 12:55:55.241,fulltime,indef_sin_contrato,emp_local_cli_local,Industria,Admin. / Gerencial,más de 15,Semi-senior,Semi-senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad privada del Paraguay,menor a 1000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Días libres, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Java y VFP,no sé,No,Oportunidad de crecimiento económico,Oportunidad de crecimiento económico,No,No más de 2 al año,El conocimiento de tecnologías o metodologías específicas,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
108,2022-09-15 12:57:33.898,fulltime,indef_sin_contrato,emp_ext_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,dev / software eng,11 - 15,Senior,Senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,5001 - 6000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con Java,más de 100,Sí,Modalidad de trabajo remota o híbrida,Remuneración inmediata,Sí,3 a 5 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",Las diferencias culturales y las habilidades blandas que se esperan de mí,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
109,2022-09-15 12:59:12.534,fulltime,emprendedor_c_clientes,emp_local_cli_local,soft. factory / intermediaria,Analista de Sist. / Business Analyst,8.0,Semi-senior,Semi-senior,Grado,Universidad Nacional de Asunción,1501 - 2000,Ninguno,No trabajo para el exterior,Desarrollo backend con Java,menos de 5,No,Ambiente laboral,Espacio para crecimiento profesional,No,No más de 2 al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.",No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
110,2022-09-15 13:01:07.924,fulltime,indef_sin_contrato,emp_local_cli_local,AGROINDUSTRIAL,dev / software eng,4.0,Semi-senior,Senior,Grado,Universidad privada del Paraguay,1000 - 1500,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,ORACLE APEX,menos de 5,No,Estabilidad laboral,Espacio para crecimiento profesional,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Lo anterior más poder escribir sobre temas técnicos. (mails, chats, documentos)"
111,2022-09-15 13:07:27.914,fulltime,contrato_temporal,emp_ext_cli_ext (puede tener también clientes en PY),dev. productos propios,dev / software eng,hasta 2,Junior,Junior,Grado,Universidad privada del Paraguay,1501 - 2000,"Flexibilidad horaria, Trabajo remoto, Días libres",Igual,"HTML, CSS, JS",menos de 5,Sí,Remuneración económica,Oportunidad de crecimiento económico,Sí,6 a 10 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.",La educación formal local es una desventaja significativa al participar de entrevistas técnicas para el exterior.,La falta de experiencia en herramientas o metodologías específicas.,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
112,2022-09-15 13:16:32.802,fulltime,r_dependencia,emp_local_cli_local,dev. productos propios,Data Engineer,3.0,Mid-level o Associate,Mid-level o Associate,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,1000 - 1500,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo híbrido (remoto y presencial), Días libres, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Data Analyst con Power BI,menos de 5,No,Espacio para crecimiento profesional,Ambiente laboral,Sí,6 a 10 veces al año,La experiencia previa,No trabajo para el exterior.,"Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",El idioma,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
113,2022-09-15 13:19:34.222,fulltime,r_dependencia,emp_ext_cli_ext (puede tener también clientes en PY),dev. productos propios,dev / software eng,7.0,Principal,Senior,Bachillerato,No aplica (para nivel bachiller),más de 6000,"13er salario o aguinaldo, Flexibilidad horaria, Trabajo remoto",Mayor,Frontend React,31 - 100,Sí,Remuneración económica,Espacio para crecimiento profesional,Sí,Más de 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.","Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
114,2022-09-15 13:21:28.936,fulltime,indef_sin_contrato,emp_local_cli_local,dev. productos propios,dev / software eng,4.0,Mid-level o Associate,Junior,Grado,Universidad privada del Paraguay,1000 - 1500,"Jubilación, 13er salario o aguinaldo, Trabajo remoto, Días libres",No trabajo para el exterior,Frontend React,no sé,No,Espacio para crecimiento profesional,Oportunidad de crecimiento económico,No,Más de 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.",No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
115,2022-09-15 13:22:31.997,emprendimiento,emprendedor_c_clientes,emp_ext_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,Comercial / Business Development,4.0,Semi-senior,Senior,Maestría,Universidad privada del Paraguay,2501 - 3000,"Flexibilidad horaria, Trabajo remoto",Menor,Growth consulting ,no sé,Sí,Remuneración económica,Espacio para crecimiento profesional,No,No más de 2 al año,La experiencia previa,Los criterios son similares.,"Un perfil con gran variedad de conocimientos, tal vez sin tanta especialización, pero con capacidad de hacer de todo un poco.","La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.",Las diferencias culturales y las habilidades blandas que se esperan de mí,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
116,2022-09-15 13:26:27.509,fulltime,indef_sin_contrato,emp_local_cli_local,soft. factory / intermediaria,dev / software eng,4.0,Mid-level o Associate,Semi-senior,Grado,Universidad privada del Paraguay,menor a 1000,"Seguro médico, 13er salario o aguinaldo, Vacaciones pagas, Trabajo híbrido (remoto y presencial), Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo backend con Java,5 - 10,Sí,Modalidad de trabajo remota o híbrida,Remuneración inmediata,Sí,6 a 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
117,2022-09-15 13:27:03.386,fulltime,contrato_temporal,emp_loc_cli_ext (puede tener también clientes en PY),dev. productos propios,Analista de Sist. / Business Analyst,11 - 15,Senior,Senior,Grado,Universidad privada del Paraguay,2001 - 2500,"Seguro médico, Jubilación, Días libres",Igual,Base de datos,menos de 5,Sí,Oportunidad de crecimiento económico,Oportunidad de crecimiento económico,No,3 a 5 veces al año,Las certificaciones oficiales,Los criterios son similares.,"Un perfil con gran variedad de conocimientos, tal vez sin tanta especialización, pero con capacidad de hacer de todo un poco.",No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Lo anterior más poder escribir sobre temas técnicos. (mails, chats, documentos)"
118,2022-09-15 13:27:30.556,emprendimiento,emprendedor_c_clientes,emp_local_cli_local,dev. productos propios,dev / software eng,más de 15,Semi-senior,Principal,Grado,Universidad privada del Paraguay,1000 - 1500,"13er salario o aguinaldo, Flexibilidad horaria, Trabajo remoto, Días libres",No trabajo para el exterior,Desarrollo web con php (backend y/o frontend),menos de 5,Sí,Remuneración económica,,Sí,6 a 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,"La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.",El idioma,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
119,2022-09-15 13:34:05.617,fulltime,r_dependencia,emp_local_cli_local,Industria,dev / software eng,11 - 15,Senior,Senior,Grado,Universidad Nacional de Asunción,2001 - 2500,"Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo backend con Java,menos de 5,Sí,Remuneración económica,Ambiente laboral,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
120,2022-09-15 13:35:07.197,fulltime,indef_sin_contrato,emp_ext_cli_ext (puede tener también clientes en PY),Robótica ,dev / software eng,3.0,Senior,Semi-senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,2001 - 2500,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros), Bonos",Igual,Backend desarrollando en C++ y Python,5 - 10,Sí,Espacio para crecimiento profesional,Oportunidad de crecimiento económico,Sí,3 a 5 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.","Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
121,2022-09-15 13:40:24.406,fulltime,r_dependencia,emp_local_cli_local,soft. factory / intermediaria,dev / software eng,3.0,Mid-level o Associate,Mid-level o Associate,Grado,Universidad Nacional de Asunción,menor a 1000,"Vacaciones pagas, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo web con php (backend y/o frontend),no sé,Sí,Modalidad de trabajo remota o híbrida,Oportunidad de crecimiento económico,No,Más de 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Poder leer materiales técnicos
122,2022-09-15 13:46:01.415,fulltime,r_dependencia,emp_local_cli_local,Gobierno,Cybersecurity,más de 15,Senior,Senior,Grado,Universidad privada del Paraguay,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Equipos de trabajo (laptop, otros), Escolaridad por hijos, beneficios financieros, formación y actualización profesional",No trabajo para el exterior,Cybersecurity,menos de 5,No,Espacio para crecimiento profesional,Desafíos,No,Más de 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
123,2022-09-15 13:49:15.320,fulltime,r_dependencia,emp_local_cli_local,Automotriz,Admin. / Gerencial,más de 15,Senior,Senior,Maestría,Universidad privada del Paraguay,3501 - 4000,"13er salario o aguinaldo, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,No estoy directamente relacionado con tecnologías y herramientas,menos de 5,No,Flexibilidad horaria,Remuneración inmediata,No,3 a 5 veces al año,El conocimiento de tecnologías o metodologías específicas,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
124,2022-09-15 13:57:03.236,fulltime,r_dependencia,emp_loc_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,Proj. Manager y/o Prog. Manager,11 - 15,Senior,Principal,Maestría,Universidad privada del Paraguay,2501 - 3000,"13er salario o aguinaldo, Vacaciones pagas, Trabajo híbrido (remoto y presencial), Equipos de trabajo (laptop, otros), Estacionamiento",Menor,Mobile Android,5 - 10,No,Oportunidad de crecimiento económico,Ambiente laboral,Sí,No más de 2 al año,El idioma,Los criterios son similares.,"Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.",Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
125,2022-09-15 14:00:32.137,fulltime,r_dependencia,emp_local_cli_local,soft. factory / intermediaria,dev / software eng,8.0,Semi-senior,Mid-level o Associate,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,menor a 1000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Trabajo híbrido (remoto y presencial), Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo backend con Java,5 - 10,Sí,Oportunidad de crecimiento económico,Ambiente laboral,Sí,Más de 10 veces al año,El conocimiento de tecnologías o metodologías específicas,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Poder leer materiales técnicos
126,2022-09-15 14:02:48.408,fulltime,indef_sin_contrato,emp_local_cli_local,dev. productos propios,dev / software eng,4.0,Mid-level o Associate,Mid-level o Associate,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad privada del Paraguay,1000 - 1500,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas",Menor,Desarrollo web con php (backend y/o frontend),menos de 5,No,Desafíos,Oportunidad de crecimiento económico,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
127,2022-09-15 14:10:14.702,freelance,contrato_temporal,emp_ext_cli_ext (puede tener también clientes en PY),Sector financiero,dev / software eng,5.0,Senior,Senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,más de 6000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres",Igual,Frontend React,menos de 5,Sí,Remuneración económica,Espacio para crecimiento profesional,Sí,Más de 10 veces al año,El idioma,Los criterios son similares.,"Un perfil con gran variedad de conocimientos, tal vez sin tanta especialización, pero con capacidad de hacer de todo un poco.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.","Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
